as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,145,BECTORFOOD,small,0.11498973305954825,0.023146597092100617,110,160,270
2026-09-07,146,SYNGENE,small,0.08833522083805209,0.030416377889235964,147,127,274
2026-09-07,147,LAXMIDENTL,small,0.10546875,0.02513740154543996,121,154,275
2026-09-07,148,VALIANTORG,small,0.04630541871921182,0.046114208348197974,195,81,276
2026-09-07,149,PFOCUS,small,0.0980140935297886,0.025706270793702263,131,148,279
2026-09-07,150,MARATHON,small,0.050105263157894736,0.04251401264210138,190,90,280
2026-09-07,151,ADROITINFO,small,0.030381694067878093,0.04934897324889432,209,72,281
2026-09-07,152,BALRAMCHIN,small,0.07717569786535304,0.03175994067367346,167,117,284
2026-09-07,153,TTKPRESTIG,small,0.09099350046425256,0.02639105840504268,144,145,289
2026-09-07,154,SONACOMS,small,0.12342412451361867,0.01615949365257766,97,192,289
2026-09-07,155,ENTERO,small,0.09425190194420964,0.025313811533770984,139,152,291
2026-09-07,156,AVALON,small,0.14882226980728053,0.008760838581355328,74,218,292
2026-09-07,157,BLISSGVS,small,0.11120263591433278,0.018322085350088023,117,179,296
2026-09-07,158,SAKAR,small,0.11392405063291139,0.017959168680455082,112,185,297
2026-09-07,159,SANSERA,small,0.11579233487360696,0.0171668267965695,109,188,297
2026-09-07,160,SHALBY,small,0.046875,0.034736414448808615,194,108,302
2026-09-07,161,AARTIIND,small,0.06354729420382749,0.030663191774277784,177,125,302
2026-09-07,162,RATEGAIN,small,0.08934010152284264,0.023847056366028564,146,157,303
2026-09-07,163,HONASA,small,0.12411118293471235,0.012673037046147103,95,208,303
2026-09-07,164,TITAGARH,small,0.09093861643390712,0.022550038763366566,145,161,306
2026-09-07,165,POLYMED,small,0.0953757225433526,0.01959433950121332,136,171,307
2026-09-07,166,EUREKAFORB,small,0.05293863439930856,0.0312838068526865,188,120,308
